cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2010,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2011,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2012,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2013,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2014,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2015,4,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2016,5,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2017,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2018,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2019,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2020,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2021,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1994,757,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1995,700,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1996,682,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1997,690,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1998,651,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,1999,589,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2000,553,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2001,562,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2002,508,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2003,483,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2004,478,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2005,416,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2006,443,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2007,408,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2008,459,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2009,412,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2010,418,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2011,402,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2012,457,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2013,394,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2014,368,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2015,458,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2016,354,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2017,411,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2018,373,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2019,321,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2020,340,Defunciones registradas
31,Yucatán,0,Estatal,1002000034,Defunciones registradas de menores de un año,2021,279,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1994,436,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1995,395,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1996,385,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1997,365,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1998,353,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,1999,339,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2000,308,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2001,296,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2002,284,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2003,270,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2004,262,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2005,244,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2006,243,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2007,221,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2008,251,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2009,233,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2010,218,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2011,224,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2012,247,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2013,211,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2014,223,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2015,256,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2016,190,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2017,236,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2018,200,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2019,173,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2020,196,Defunciones registradas
31,Yucatán,0,Estatal,1002000035,Defunciones registradas de menores de un año. Hombres,2021,151,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1994,321,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1995,303,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1996,295,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1997,321,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1998,297,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,1999,249,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2000,244,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2001,263,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2002,223,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2003,213,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2004,216,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2005,171,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2006,200,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2007,186,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2008,207,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2009,179,Defunciones registradas
